ADAMS, John ,1947,,
ALLEGRI, Gregorio ,1582,1652,
BACH, Johann Sebastian ,1685,1750,
BARBER, Samuel ,1910,1981,
BARTÓK, Béla ,1881,1945,
BEETHOVEN, Ludwig van ,1770,1827,
BEETHOVEN, Ludwig van ,1770,1827, 
BERNSTEIN, Leonard ,1918,1990,
BIZET, Georges ,1838,1875, 
CHOPIN, Frédéric ,1810,1849,
BRAHMS, Johannes ,1833,1897,
BRITTEN, Benjamin ,1913,1976,
COPLAND, Aaron ,1900,1990,
de FALLA, Manuel ,1876,1946,
DEBUSSY, Claude ,1862,1918,
DELIBES, Léo ,1836,1891,
DUKAS, Paul ,1865,1935,
DVORAK, Antonín ,1841,1904,
ELGAR, Edward ,1857,1934,
FAURÉ, Gabriel ,1845,1924,
FITKIN, Graham ,1963,,
GERSHWIN, George ,1898,1937,
GRAINGER, Percy ,1882,1961,
GRIEG, Edvard ,1843,1907, 
HANDEL, George Frideric ,1685,1759,
HAYDN, Joseph ,1732,1809,
HÉROLD, Ferdinand ,1791,1833,
HILDEGARD VON BINGEN,,1098,1179,
GRIEG, Edvard ,1843,1907,
HUMPERDINCK, Engelbert ,1854,1921,
KATS-CHERNIN, Elena ,1957,,
KHACHATURIAN, Aram ,1903,1978,
KODÁLY, Zoltán ,1882,1967,
MENDELSSOHN, Felix ,1809,1847,
MONTEVERDI, Claudio ,1567,1643,
MOZART, Wolfgang Amadeus ,1756,1791, 
HOLST, Gustav ,1874,1934,
MUSSORGSKY, Modest ,1839,1881,
ORFF, Carl ,1895,1982,
PACHELBEL, Johann ,1653,1706, 
PROKOFIEV, Sergei ,1891,1953, 
PUCCINI, Giacomo ,1858,1924,
PURCELL, Henry ,1659,1695,  
REICH, Steve ,1936,,  
RIMSKY KORSAKOV, Nikolai ,1844,1908, 
ROSSINI, Gioachino ,1792,1868, 
RUTTER, John ,1945,,
SAINT-SAENS, Camille ,1835,1921,  
SCHUBERT, Franz ,1797,1828,  
PROKOFIEV, Sergei ,1891,1953,
SCHUMANN, Clara ,1819,1896,
SCHUMANN, Robert ,1810,1856,  
RACHMANINOV, Sergei ,1873,1943,  
RAVEL, Maurice ,1875,1937,  
SHOSTAKOVICH, Dmitri ,1906,1975,  
RIMSKY KORSAKOV, Nikolai ,1844,1908,
SIBELIUS, Jean ,1865,1957,  
RODRIGO, Joaquín ,1901,1999,  
SOUSA, John Philip ,1854,1932,  
STRAUSS II, Johann ,1825,1899,
STRAUSS, Richard ,1864,1949,  
STRAVINSKY, Igor ,1882,1971,
SCHUBERT, Franz ,1797,1828, 
TALLIS, Thomas ,1505,1585,
TAVENER, John ,1944,2013,  
TCHAIKOVSKY, Pyotr Ilyich ,1840,1893, 
VAUGHAN WILLIAMS, Ralph ,1872,1958,  
VERDI, Giuseppe ,1813,1901,  
VIVALDI, Antonio ,1678,1741,  
WAGNER, Richard ,1813,1883,  
WARLOCK, Peter ,1894,1930,  
WIDOR, Charles-Marie ,1844,1937,